ГунКФ;;;;;;;;
ГусеваАА;;;;;;;;
ГусеваГ;;;;;;2;;
ГусиковХК;;;;;;;;
Гюбнер-СимонисЭВ;;;;;;;;
ГюбнерЭВ;;;;;;;;
ГюрджанАМ;;;;;;;;
ДабижаАВ;;;;;;;;
ДаксергофФП;;;;;;;;
ДальГ;;;;;;;;
Д'АльгеймММ;1;;;;;;;
Даньян-Бувере;;;;;;;;
ДаугельА;;;;;;;;
Дашенко;;;;;;;;
ДворниковТЯ;;;;;;;;
Де-Вит-МанизерСС;;;;;;;;
ДевяткинСЕ;;3;;3;2;2;;3
ДевятовЯМ;;;;;;;;
ДегазШ;;;;;;;;
ДеевСС;;;;;;;;
Делла-ВосОЛ;;;;;;;;
ДенисовАК;;;;;;;;
Денисов-УральскийАК;1;2;;;;;;
ДеранА;;;;;;;;
ДержавинНМ;;;;;;;;
ДерюжинскийГВ;;;;;;;;
ДетерсЭВ;;;;;;;;
ДешинД;;;;;;;;1
ДженеевИА;2;;;;;;;
ДжилардиП;;;;;;;;
ДжогинПП;;;;;;;;
ДжонстонГ;;;;;;;;
ДиллонМЛ;;;3;4;3;2;;3
ДилльЛ;;;;;;;;
ДитрихЛА;;;;;;;;
ДмитриевВА;;;;;;;;
ДмитриевИЯ;;;;;;;;
Дмитриев-КавказскийЛЕ;;;;;;;;
Дмитриев-КавказскийН;;;;;;;;
ДмитриевЛЕ;;;;;;;;
Дмитриев-ОренбургскийНД;;;;;;;;
ДмитриевС;;;;;;;;
Дмитриев-ЧелябинскийИЯ;;;;1;3;;;2
ДобрижинскийВА;;;;;;;;
ДобровольскийВГ;;;;;;;;
ДобровольскийНФ;;;;;;;;
ДобужинскийМВ;;;;;;;;
ДолговАА;;;;;;;;
ДолговИВ;;;;;;;;
ДолинВК;;;;;;;;
ДомарадзкийСЭ;;;;;;;;
ДоскинНВ;;;;;;;;
ДржевецкаяЛ;;;;;;;;
ДриттенпрейсВП;;;;;;;;
ДроздовИГ;;;;;;;;
ДрюльВ;;;;;;;;
ДубовскийНН;;;;;;;;
ДубровскийАС;;;;;;;;
ДудинИО;;;;;;;;
ДуковичСА;;;;;;;;
ДукшинскаяЭГ;;;;;;;;
ДурдинБН;;;;;;;;
ДурновМА;;;;;;;;
ДыдышкоКВ;;;;;;;;
Дьякова-АлексееваМН;;;;;;;;
ДьяковаМН;;;;;;;;
Дьяконов-МичанскийДВ;;;;;;;;
ДюккерЕЭ;;;;;;;;
ЕвреиновВВ;;;;2;2;1;;
ЕвсеевКИ;;;;;;;;
ЕгорновАС;;;;;;;;
ЕгорновСС;14;10;6;10;14;13;13;11
ЕгоровАА;;;;;;;;3
ЕгоровЕВ;;;;;;;;
ЕгоровЛЕ;;;;;;;;
ЕгоровСЗ;;;;;;;;1
ЕдельфельдА;;;;;;;;
ЕндогуровНИ;;;;;;;;
ЕрмиловИ;;;;;;;;
ЕрмолаевБН;;;;;;;;
ЕрнефельтЕ;;;;;;;;
ЕсиповДА;;;;;;;;
ЕфимовИЕ;;;;;;;;
ЕфимовМЯ;;;;;;;;
ЕфимовНН;;;;;;;;
ЖабаАК;;;;;;;;
ЖабаНК;;;;;;;;
ЖаравоваАА;;;;;;;;
Жевакина-НикольскаяМС;;;;;;;;
Жеврежеев;;;;;;;;
ЖелтовскийИВ;;;;;;;;
ЖижиленкоАИ;;;;;;;;
ЖижиленкоГА;;;;;;;;
ЖилардиРС;;;;;;;;
ЖилинПФ;;;;;;;;
ЖильцовИО;;;;;;;;
ЖолтовскийИВ;;;;;;;;
ЖувенауИ;;;;;;;;
ЖудинаОД;;;;;;;;
ЖудинДА;;;;;;;;
ЖуковаЛА;;;;;;;;
ЖуковИС;;2;2;3;2;1;;
ЖуковскаяМБ;;;;;;;;
ЖуковскийСЮ;;;;;;;;
ЖупахинСГ;;;;;;;;
