Бюлов;;
Бяльницкий-БируляВК;;
ВаальАЭ;;
ВагнерПН;;
ВаленковаСН;;3
ВалькевичМИ;;
ВальтерИФ;;
ВанДонген;;
ВарыпаеваНА;8;
ВасильевАА;;
ВасильевВН;;
ВасильевЛО;;
ВасильевМА;;
ВасильевФА;;
ВасильковскийСИ;;
ВаскиевскаяЕ;;
ВаснецовАМ;;
ВаснецовВМ;;
ВасютинскийАА;;
Ваулин;;
ВахрамеевАИ;;
ВахрушовФМ;;
ВахтерЕА;;
ВащенкоЕП;;
ВеберЯЯ;;
Вейсенгоф;;
ВейценбергАИ;;
ВекшинскийАН;;
ВелигоноваЗВ;;
ВеликановВИ;;
ВельонскийПА;;
ВельцИА;;
ВенигКБ;;
ВенигПК;;
ВеревкинаМ;;
ВеревкинФИ;;
ВерейскийГС;1;
ВерещагинВВ;;
ВерещагинВП;;
ВерещагинПИ;;
ВерещагинПП;;
ВернерАВ;;
Версилова-НерчинскаяМН;;
Вертс;;
ВерховскаяЛН;;
ВерховскийГЕ;;
ВершининИЕ;;
ВеселовПЛ;;
ВеселовскийЛР;;
ВестфаленАХ;;
ВещиловКА;;
ВжещьЕК;;
ВизельЭО;12;
ВиллевальдеАБ;;
ВиллевальдеБП;;
Виллегас;;
ВиллиамЕН;;
ВиллиеМЯ;;
ВильдеРФ;;4
Вилье;;
ВинклерКА;;
ВиноградоваОА;;
ВиноградовСА;;
ВинцманИК;;
ВинцманОИ;;
ВисковатоваЕИ;;
ВисниовскаяЕИ;;
ВистингаузенАА;;
ВитвицкийИГ;;
ВладимировИА;;
ВладимирскийБ;;
Владимирский-Киевский;;
ВласовСА;;9
ВознесенскаяАВ;;
ВоиновРВ;6;23
ВолковВВ;;10
ВолковГ;;
ВолковЕЕ;;
ВолочинковАМ;;
ВонгльСЭ;;
ВороненковВЕ;;
ВоронковВЕ;;
ВороновПФ;;
ВоронцовВВ;;
ВоротынскийДА;;
ВостингаузенА;;
ВрангельЕК;;
ВрачевИА;;
ВроблевскийКК;;
ВронскийСЕ;;
ВрубельМА;;
ВульфВВ;;
ВучичевичВД;;
ВывиорскийМИ;;
ВыезжевАН;;
ВысотскийКС;;
ГаберцеттельВ;;
ГабовичМГ;;
ГаврильцевДМ;;
ГагаринНВ;;
Гаген-ТорнМЭ;;
Гаген-ШварцЮ;;
ГадонСС;;
ГаевскийВМ;;
Галеота;;
ГалимскийВМ;;
ГалкинИС;;
ГалленА;;
Галофрэ;;
ГамбургерЛА;;
ГаммК;;
ГанзенАВ;;
ГариевичБВ;;5
ГартманК;;
ГаушАФ;;
ГаушЛ;;
ГвидоН;;
Гейерманс;;
ГейманС;;
ГеллерПИ;;
Гельдвейн-Ваулин;;
ГеНН;;
ГерардовНИ;;
ГерасимовАМ;;
ГерманГ;;
ГермашевММ;;
ГерсонВВ;;
ГершевскийСИ;;
ГефтлерКЭ;;
ГигогабаевГИ;;
ГинцбургИЯ;;
ГинцбургМГ;;
ГиньковскийПВ;;
ГиппусНН;;
ГирвАП;;
ГиршльА;;
ГлаголеваАС;;
ГлобаНВ;;
ГлущенкоДИ;;
ГляйзесА;;
ГодунЕ;;
ГолеевскаяПК;;
ГолембиовскийКИ;;
