Artist;Gender;Museums
ЗиминКН;0;0
ЗиновьевА;0;0
ЗиновьевПГ;0;0
Зихель;0;0
ЗлатовратскийАН;0;0
ЗоммерКА;0;0
ЗоммерРК;0;0
ЗоринФТ;0;0
ЗубчаниновНА;0;0
ЗулмарЛН;0;0
ИваницкаяЕЕ;0;0
ИванкинГВ;0;0
ИвановАА;0;0
ИвановАЕ;0;0
ИвановаКВ;1;0
ИвановБМ;0;0
ИвановДГ;0;0
Иванов-ЛозовскийГМ;0;0
ИвановМФ;0;0
ИвановНЛ;0;0
ИвановПП;0;0
ИвановСВ;0;3
ИвановСП;0;0
ИвашинцеваМИ;1;0
ИвковскийСК;0;0
ИгнатьевМИ;0;0
Иелита-ВольскийФА;0;0
ИжакевичАА;0;0
ИжакевичИС;0;0
ИжевскаяМП;1;0
ИзмайловичВМ;0;0
ИзоевПФ;0;0
Икар;0;0
ИконниковАД;0;0
ИльинЛН;0;0
ИльинскийВК;0;0
ИмеретинскаяОФ;1;0
ИонинНА;0;0
ИоффеМС;0;0
ИсуповАВ;0;0
ЙенсенДИ;0;0
Кавос-ЗаруднаяЕС;1;0
КавтарадзеАК;0;0
КавтарадзеКЗ;0;0
КагородовАД;0;0
КазаковИС;0;0
КазановскаяМА;1;0
КазановскийВЛ;0;0
КазанцеваЕВ;1;0
КазанцевВП;0;0
КазенЖ;0;0
КайгородовАД;0;0
КакабадзеДН;0;0
КалачевЕА;0;0
КалашниковЕА;0;0
КалмаковНК;0;0
КалмыковГО;0;0
КалмыковИЛ;0;0
Калупов;0;0
КамаровВИ;0;0
КамбаровИА;0;0
КаменевЛЛ;0;5
КаменскийБМ;0;0
КаменскийГП;0;0
КаменскийПП;0;0
КаменскийФМ;0;0
КаменскийФФ;0;0
КаменцеваЕИ;1;0
КандауровАИ;0;0
КандинскийВВ;0;1
КанольдтА;0;0
КанцеровАГ;0;0
КаплунАВ;0;0
КаразинНН;0;0
Каргус-СмоленскийВР;0;0
КардовскийДН;0;0
КаревАЕ;0;0
КарелинАА;0;0
Карем-ВайнштейнЕС;0;0
КаринскаяА;1;0
КарнеевАЕ;0;0
КародоссиВ;0;0
Карпинская-ГерунгЕГ;1;0
Карпова-КоншевскаяЕГ;1;0
КарриерГ;0;0
КарцевПС;0;0
КасаткинНА;0;0
КасаткинНН;0;0
Кастан;0;0
КасцовКГ;0;0
КатуркинТИ;0;0
КафкаВА;0;0
КашкадамоваЕН;1;0
КелерКИ;0;0
КелинПИ;0;0
КеллерАВ;0;0
КеллерИП;0;0
КельхВФ;0;0
КельхПИ;0;0
КеммингГА;0;0
КерзинМА;0;0
КерковаСЛ;1;0
КибальчичТВ;0;0
КившенкоАД;0;1
КикертК;0;0
КирилловаАМ;1;0
КиринарскийМА;0;0
КирсановКВ;0;0
КирьяцкойЕО;0;0
КиселевАА;0;0
Киселев-КамскийАА;0;0
КиселевС;0;0
КисельБА;0;0
Китаева-ЦыхановскаяАВ;1;0
КитаевВН;0;0
КишневскийСЯ;0;0
КлагесФА;0;0
КлакачеваСЛ;1;0
КлевезальА;0;0
КлеверМ;0;0
КлеверО;0;0
КлеверЮЮ;0;0
Клейнек;0;0
КлементьевАН;0;0
КлеттенбергАП;0;0
КлименкоД;0;0
КлименкоДВ;0;0
КлодтМК;0;2
КлодтМП;0;0
КлодтНА;0;0
КлодтПК;0;0
КлокачеваЕН;1;0
КлоповВА;0;0
КлюкКФ;0;0
КлюшниковСА;0;0
Кнюпфер;0;0
КнязьковаВВ;1;0
КовалевскийПО;0;0
Ковальская-ИльинаПВ;1;0
КозловВВ;0;0
КозловПС;0;0
Козловская;1;0
КозловскаяМА;1;0
КокелинФ;0;0
КолесниковИО;0;0
Колесова-РощинаАИ;1;0
КолпаковскаяВН;1;0
КолупаевДА;0;0
КомароваАТ;1;0
КомаровВП;0;0
КомаровДВ;0;0
КомашкоАМ;0;0
КонашевичВМ;0;0
КондерШ;0;0
КондратенкоГП;0;0
КондратенкоКП;0;0
КондратьевВВ;0;0
КоненковСТ;0;0
КонновАИ;0;0
КоноваловаАС;1;0
КоноваловВВ;0;0
КонстантиноваАО;1;0
КонстантиновНК;0;0
КонстантинопольНК;0;0
КончаловскийПП;0;2
КоптевГН;0;0
КореневВФ;0;0
Коренев-НовороссийскийВФ;0;0
КорженевскийС;0;0
КорзухинАИ;0;3
КоринАМ;0;1
КоринсскаяА;0;0
КорневВФ;0;0
КорнеевФМ;0;0
КорниловНВ;0;0
КоробковСТ;0;0
КоровинКА;0;31
КоровинПИ;0;0
КоровинСА;0;0
КорогодовСМ;0;0
КоролевАП;0;0
КорсаковЮП;0;0
КорсунМП;0;0
КорфВН;0;0
КосмаковИА;0;0
КоссакВ;0;0
КостандиКК;0;0
КостенкоКЕ;0;0
КостенкоСП;0;0
КострицЛМ;0;0
КотарбинскийВА;0;0
КотляревскийАМ;0;0
КотовГИ;0;0
КохПП;0;0
КоцебуАЕ;0;0
КочетоваОА;1;0
КошелевНА;0;1
КравченкоАИ;0;0
КравченкоНИ;0;0
КрамскаяСИ;1;1
КрамскойИН;0;38
КрандиевскаяНВ;1;0
КрапоткинаМН;1;0
КрарупТФ;0;0
КрасиковВА;0;0
КрасковскийИЕ;0;0
КраснухаСП;0;0
КраснушкинаЕЗ;1;0
КрасовскийНП;0;0
КрачковскийИЕ;0;0
КрейтанВП;0;0
КремерБД;0;0
КремерБС;0;0
Крепер;0;0
КрествоскийИВ;0;0
КрестианполПИ;0;0
КречининСИ;0;0
КржешИИ;0;0
КржыжановскийКМ;0;0
КривошеинСВ;0;0
Крошечкин-КрошицкийМП;0;0
КругликоваЕС;1;0
КрчинскийСС;0;0
КрыжицкийКЯ;0;1
Крылов;0;0
КрыловИИ;0;0
КрымовНП;0;5
КрюковВС;0;0
КсеньеваЛ;1;0
КсидиасПС;0;0
КубинО;0;0
КубицкийВН;0;0
КувакинК;0;0
КувшинниковаСП;1;0
КудрявцеваВА;1;0
КудрявцевАИ;0;0
КудрявцевСИ;0;0
КузнецовВВ;0;0
КузнецовКП;0;0
КузнецовНД;0;3
КузнецовП;0;0
КузьминаНА;1;0
КуинджиАИ;0;21
КулагинаСО;1;0
КулешаМК;0;0
КуликовИС;0;0
КуммингАА;0;0
КуммингГА;0;0
КупринАВ;0;0
КурбатовМА;0;0
КуреннойАА;0;0
КуриарПП;1;0
КуриарьПП;0;0
КуринАВ;0;0
КурпатовАВ;0;0
КусковАА;0;0
КустодиевБМ;0;14
КустодиевКБ;0;0
КучинскийСИ;0;0
КучумовВН;0;0
Кюгельген;0;0
КюгельхенСК;0;0
КюнАМ;0;0
КюфферлеПО;0;0
ЛаверецкийНА;0;0
ЛагардП;0;0
Лагода-ШишкинаОА;1;0
ЛагориоЛФ;0;5
ЛадыженскийГА;0;0
ЛажечниковАИ;0;0
Лазарев-СтанищевСН;0;0
ЛаманскаяАК;1;0
ЛансгофЛЭ;0;0
ЛансереЕА;0;0
ЛансереЕЕ;0;1
ЛансереНЕ;0;0
ЛанскойИИ;0;0
ЛапускинИВ;0;0
Лапчинский;0;0
Лапшина-СоколоваВН;1;0
ЛапшинГА;0;0
ЛарионовМФ;0;3
Лассон-СпироваЭА;0;0
ЛатриМП;0;0
ЛатушГ;0;0
ЛатышеваА;1;0
ЛаудонЕО;0;0
ЛаховскийАБ;0;0
ЛебедевАИ;0;0
ЛебедевВВ;0;5
ЛебедевКВ;0;1
ЛебедевНМ;0;0
ЛебланМВ;0;0
ЛевандовскийВН;0;0
ЛевиМБ;0;0
ЛевинКП;0;0
ЛевитанИИ;0;48
ЛевитскийВН;0;0
ЛевицкийРС;0;0
ЛевкиевскийВВ;0;0
ЛевотГА;0;0
ЛевченкоИИ;0;0
ЛевченкоПА;0;0
Ле-ДантюМВ;0;0
Леднев-ЩукинСЕ;0;0
ЛеманЮЯ;0;0
ЛемохКВ;0;0
ЛенбахФ;0;0
ЛенскийЗА;0;0
ЛентуловАВ;0;1
ЛеонгардтФ;0;0
ЛеонсМН;0;0
ЛепетичНН;0;0
ЛермиттЛ;0;0
ЛермонтоваНВ;1;0
ЛесючевскийВИ;0;0
