БоревскийН;;;;;;;
БоринВМ;;;;;;;
БорисовАА;;;;;;;
БорисовИФ;;;;;;;
Борисов-МусатовВЭ;12;;;;;;
БормоткинВМ;;;;;;;
БородаевскийСО;;;;;;;
БортникерДМ;;;;;;;
БоруздинаВМ;;;;;;;
БоскинМВ;;;;;;;
БоссиЭ;;;;;;;
БоткинаМС;;;;;;;
БоткинМП;;;;;;;
БоткинНИ;;;;;;;
БочаровМИ;;;;;;;
БрагаГ;;;;;;;
БрагаЭ;;;;;;;
БразельЮН;;;;;;;
БразОЭ;9;;;;;;
БраиловскаяРН;;;;;;;
БраиловскийЛМ;;;;;;;
БракГ;;;;;;;
БрандтИ;;;;;;;
БраунЭГ;;;;;;;
Бредт;;;;;;;
Брендель;;;;;;;
БржозовскийФФ;;;;;;;
БроварьЯИ;;;;;;;
БродскийИИ;;;9;28;59;11;22
БромбергФГ;;;;;;;
БронниковНК;;;;;;;
БронниковФА;;;;;;;
БроновицкийГФ;;;;;;;
БруниНА;;;;;;;
БруниФА;;;;;;;
БрускетиАЯ;;;;;;;
БрухардтФК;;;;;;;
БрэнгвинЖ;;;;;;;
БрюлловПА;;;;;;;
БрянскийМВ;;;;;;;
БубликовНЕ;;;;;;;
Будкевич;;;;;;;
Будковская-КибальчичНТ;;;;;;;
БудковскийГЯ;;;;;;;
БузалевскийБМ;;;;;;;
БуйндМА;;;;;;;
БуйницкийРИ;;;;;;;
БуковецкийЕИ;;;;;;;
БукФП;;;;;;;
БулацельРС;;;;;;;
Бульмеринг-КороленкоЕП;;;;;;;
БунинНН;;;;;;;
БургардтЛО;;;;;;;
Бургарт;;;;;;;
БуринскаяНФ;;;;;;;
БурлюкВД;;;;;;;
БурлюкДД;;;;;;;
БуровФЕ;;;;;;;
БурхардтФК;;;;;;;
БутлярСА;;;;;;;
Бутэ-де-Монвель;;;;;;;
БухгольцФФ;;;;;;;
БухерАИ;;;;;;;
БухПН;;;;;;;
БыкадоровНЯ;;;;;;;
БыковскийНМ;;;;;;;
БылевскийФС;;;;;;;
БыляшкинВВ;;;;;;;
БыстренинВИ;;;;;;;
БычковВП;;;;19;21;12;23
Бюлов;;;;;;;
Бяльницкий-БируляВК;;;;;;;
