РашевскийИГ;
РевенскийЕН;
РедковскийАА;
РедлихГС;
РезановВМ;
РезниковМВ;
РеймерсИИ;
Рейнгольдтфон-Моллер;
РейтернЕП;
РейхардтЕИ;
Ремер;
РендичИ;
РепинаВИ;
РепинИЕ;
РепинЮИ;
РерихНК;
РжевскаяАЛ;
РивьерГ;
РизниченкоФП;
РицониАА;
РицониЕП;
Ришомм;
РоговАП;
РоговинНЕ;
РождественскийВВ;
РозановаОВ;
РозановНВ;
РозенГВ;
РозенИВ;
РозенИС;
РозентальЯМ;
РозенЯС;
РозинскийГН;
РокачевскийАЕ;
РомановичСМ;
Романовский-РоманьковичАС;
РоммАГ;
РоотНФ;
РостворовскийСР;
РостиславовАА;
РошА;
РощубкинА;4
РубоФА;
РубцовАА;
РудаковКИ;
РудольфЭрбслох;
РужниковНП;
Рульс;
Рундальцев;
РундальцевЛВ;
РундальцовМВ;
РусаковАИ;
Рушевская;
РущицФЭ;
РыбаковИГ;
РыловАА;2
РындзюнскаяМД;
РындинаН;
РыпинЮИ;
РюссР;
РябининНН;
РябушинскийСП;
РябушкинАП;
СабоНН;
СавеловПК;
СавинковВВ;
СавинскийВЕ;7
СавицкийГК;
СавицкийКА;
СаврасовАК;
СагайдачныйЕЯ;
СаддИИ;
СаксенКФ;
СаксНЭ;
СалаПО;
СалтыковМД;
СальмонЭФ;
СамойловаАМ;
СамойловаВА;
СамойловПВ;
СамокишНС;
СамуйльсонЕФ;
